а в случае если;ну а если
мекки;центры притяжения
мекк;центров притяжения
меккам;центрам притяжения
мекках;центрах притяжения
книжные;букинистические
книжных;букинистических
книжным;букинистическим
книжными;букинистическими
книжная;букинистическая
книжный;букинистический
книжное;букинистическое
результаты;итоги
результатов;итогов
результатам;итогам
результатами;итогами
результатах;итогах
результат;итог
в частности;например
долларов;$
cнижение;понижение
снижения;понижения
снижению;понижению
снижением;понижением
снижении;понижении
снижений;понижений
снижениям;понижениям
снижениями;понижениями
снижениях;понижениях
судя по всему;по всей видимости
кабинетах;офисах
кабинет;офис
кабинета;офиса
кабинетом;офисом
кабинету;офису
кабинете;офисе
кабинеты;офисы
кабинетов;офисов
кабинетам;офисам
кабинетами;офисами
раньше;ранее
склонностью;предрасположеностью
склонность;предрасположенность
склонности;предрасположенности
склонностей;предрасположенностей
склонностям;предрасположенностям
склонностями;предрасположенностями
склонностях;предрасположенностях
признался;сознался
признаться;сознаться
призналась;созналась
призналось;созналось
признались;сознались
признаюсь;сознаюсь
признаемся;сознаемся
признаешь;сознаешься
признаетесь;сознаетесь
признается;сознается
признаются;сознаются
признайся;сознайся
признайтесь;сознайтесь
развития ситуации;хода событий
развитие ситуации;ход событий
развитию ситуации;ходу событий
развитием ситуации;ходом событий
развитии ситуации;ходе событий
худший;нелучший
худшего;нелучшего
худшему;нелучшему
худшим;нелучшим
худшем;нелучшем
худшая;нелучшая
худшей;нелучшей
худшую;нелучшую
худшее;нелучшее
худшие;нелучшие
худших;нелучших
худшими;нелучшими
месяц назад;в прошлом месяце
излучал;источал
излучать;источать
излучала;источала
излучало;источало
излучали;источали
излучаю;источаю
излучаем;источаем
излучаешь;источаешь
излучаете;источаете
излучает;источает
излучают;источают
буду излучать;буду источать
будем излучать;будем источать
будешь излучать;будешь источать
будете излучать;будете источать
будет излучать;будет источать
будут излучать;будут источать
излучай;источай
излучайте;источайте
не затронет;не коснется
не затронуть;не коснуться
не затронул;не коснулся
не затронула;не коснулась
не затронуло;не коснулось
не затронули;не коснулись
не затрону;не коснусь
не затронем;не коснемся
не затронешь;не коснешься
не затронете;не коснетесь
не затронут;не коснутся
не затронь;не коснись
не затроньте;не коснитесь
в значительной степени;сильно
накануне;за день до этого
членом которого;участником которого
член которого;участник которого
члена которого;участника которого
члену которого;участнику которого
члене которого;участнике которого
члены которого;участники которого
членов которого;участников которого
членам которого;участникам которого
членами которого;участниками которого
членах которого;участниках которого
основатель;отец
основателя;отца
основателю;отцу
основателем;отцом
основателе;отце
основатели;отцы
основателей;отцов
основателям;отцам
основателями;отцами
основателях;отцах
обанкротился;раззорился
обанкротиться;разориться
обанкротилась;разорилась
обанкротилось;разорилось
обанкротились;разорились
обанкрочусь;разорюсь
обанкротимся;разоримся
обанкротишься;разоришься
обанкротитесь;разоритесь
обанкротится;разорится
обанкротятся;разорятся
обанкроться;разорись
обанкротьтесь;разоритесь
финансового кризиса;мирового кризиса
финансовый кризис;мировой кризис
финансовому кризису;мировому кризису
финансовым кризисом;мировым кризисом
финансовом кризисе;мировом кризисе
финансовые кризисы;мировые кризисы
финансовых кризисов;мировых кризисов
финансовым кризисам;мировым кризисам
финансовыми кризисами;мировыми кризисами
финансовых кризисах;мировых кризисах
шаткие;непрочные
шаткий;непрочный
шаткого;непрочного
шаткому;непросному
шатким;непрочным
шатком;непрочном
шаткая;непрочная
шаткой;непрочной
шаткую;непрочную
шаткое;непрочное
шатких;непрочных
шаткими;непрочными
констатировал;резюмирвал
констатировать;резюмировать
констатировала;резюмировала
констатировало;резюмировало
констатировали;резюмировали
констатирую;резюмирую
констатируем;резюмируем
констатируешь;резюмируешь
констатируете;резюмируете
констатирует;резюмирует
констатируют;резюмируют
констатируй;резюмируй
констатируйте;резюмируйте
элитного;престижного
элитный;престижный
элитному;престижному
элитным;престижным
элитном;престижном
элитная;престижная
элитной;престижной
элитную;престижную
элитное;престижное
элитные;престижные
элитных;престижных
элитными;престижными
элитнейший;престижнейший
элитнейшего;престижнейшего
элитнейшему;престижнейшему
элитнейшим;престижнейшим
элитнейшем;престижнейшем
элитнейшая;престижнейшая
элитнейшей;престижнейшей
элитнейшую;престижнейшую
элитнейшее;престижнейшее
элитнейшие;престижнейшие
элитнейших;престижнейших
элитнейшими;престижнейшими
агрессивной политики;жесткой политики
агрессивная политика;жесткая политика
агрессивную политику;жесткую политику
агрессивной политике;жесткой политике
намерения;планы
намерение;план
намерению;плану
намерением;планом
намерении;плане
намерений;планов
намерениям;планам
намерениями;планами
намерениях;планах
филиалы;отделения
филиал;отделение
филиала;отделения
филиалу;отделению
филиалом;отделением
филиале;отделении
филиалов;отделений
филиалам;отделениям
филиалами;отделениями
филиалах;отделениях
считающийся;слывущий
считающегося;слывущего
считающемуся;слывущему
считающимся;слывущим
считающемся;слывущем
считающаяся;слывущая
считающейся;слывущей
считающуюся;слывущую
считающиеся;слывущие
считающихся;слывущих
считающимися;слывущими
супругой;женой
супруга;жена
супруги;жены
супруге;жене
супруги;жены
супругам;женам
супругами;женами
супругах;женах
поделил;разделил
поделить;разделить
поделила;разделила
поделило;разделило
поделили;разделили
поделю;разделю
поделим;разделим
поделишь;разделишь
поделите;разделите
поделит;разделит
поделят;разделят
подели;раздели
имение;усадьба
имения;усадьбы
имению;усадьбе
имением;усадьбой
имении;усадьбе
имений;усадеб
имениям;усадьбам
имениями;усадьбами
имениях;усадьбах
миллионов;млн.
жилищный рынок;рынок недвижимости
жилищного рынка;рынка недвижимости
жилищному рынку;рынку недвижимости
жилищным рынком;рынком недвижимости
жилищном рынке;рынке недвижимости
жилищные рынки;рынки недвижимости
жилищных рынков;рынков недвижимости
жилищным рынкам;рынкам недвижимости
жилищными рынками;рынками недвижимости
жилищных рынках;рынках недвижимости
обрушившийся;обвалившийся
обрушившегося;обвалившегося
обрушившемуся;обвалившемуся
обрушившимся;обвалившимся
обрушившемся;;обвалившемся
обрушившаяся;обвалившаяся
обрушившейся;обвалившейся
обрушившуюся;обвалившуюся
обрушившееся;обвалившееся
обрушившиеся;обвалившиеся
обрушившихся;обвалившихся
обрушившимся;обвалившимся
обрушившимися;обвалившимися
заморозил;законсервировал
заморозить;законсервировать
заморозила;законсервировала
заморозило;законсервировало
заморозили;законсервировали
заморожу;законсервирую
заморозим;законсервируем
заморозишь;законсервируешь
заморозите;законсервируете
заморозит;законсервирует
заморозят;законсервируют
заморозь;законсервируй
заморозьте;законсервируйте
примечательно;стоит отметить
адвокатам;юристам
адвокат;юрист
адвоката;юриста
адвокату;юристу
адвокатом;юристом
адвокате;юристе
адвокаты;юристы
адвокатов;юристов
адвокатами;юристами
адвокатах;юристах
выразив опасения;опасаясь
выражая сомнения;опасаясь
политика руководства;методы управления
политики руководства;методов управления
политике руководства;методам управления
политикой руководства;методами управления
озабоченность;опасение
озабоченности;опасения
озабоченность;опасение
озабоченностью;опасением
мировых;крупных
мирового;крупного
мировому;крупному
мировым;крупным
мировом;крупном
мировая;крупная
мировую;крупную
мировое;крупное
мировые;крупные
мировым;крупным
мировыми;крупными
невелика;не слишком большая
члены клуба;участники клуба
членом клуба;участником клуба
член клуба;участник клуба
члена клуба;участника клуба
члену клуба;участнику клуба
члене клуба;участнике клуба
членов клуба;участников клуба
членам клуба;участникам клуба
членами клуба;участниками клуба
членах клуба;участниках клуба
по последним данным;по свежим сведениям
среди них;в их числе
также;кроме того
молодой женщины;девушки
молодая женщина;девушка
молодой женщине;девушке
молодой женщиной;девушкой
молодую женщину;девушку
молодые женщины;девушки
молодых женщин;девушек
молодым женщинам;девушкам
молодыми женщинами;девушками
молодых женщинах;девушках
основания черепа;основания черепа
доставлена в лечебницу;госпитализирована
доставлен в больницу;госпитализирован
доставлено в больницу;госпитализировано
доставлены в больницу;госпитализированы
тяжелое;нелегкое
тяжело;нелегко
тяжелый;нелегкий
тяжелого;нелегкого
тяжелому;нелегкому
тяжелым;нелегким
тяжелом;нелегком
тяжелая;нелегкая
тяжелой;нелегкой
тяжелую;нелегкую
тяжелые;нелегкие
тяжелых;нелегких
тяжелыми;нелегкими
завершены;закончены
завершен;закончен
завершена;закончена
завершено;закончено
обвиняются в совершении преступлений;подозреваются в деяниях
обвиняться в совершении преступлений;подозреваться в деяниях
обвинялся в совершении преступлений;подозревался в деяниях
обвинялась в совершении преступлений;подозревалась в деяниях
обвинялось в совершении преступлений;подозревалось в деяниях
обвинялись в совершении преступлений;подозревались в деяниях
обвиняюсь в совершении преступлений;подозреваюсь в деяниях
обвиняемся в совершении преступлений;подозреваемся в деяниях
обвиняешься в совершении преступлений;подозреваешься в деяниях
обвиняетесь в совершении преступлений;подозреваетесь в деяниях
обвиняется в совершении преступлений;подозревается в деяниях
буду обвиняться в совершении преступлений;буду подозреваться в деяниях
будем обвиняться в совершении преступлений;будем подозреваться в деяниях
будешь обвиняться в совершении преступлений;будешь подозреваться в деяниях
будете обвиняться в совершении преступлений;будете подозреваться в деяниях
будет обвиняться в совершении преступлений;будет подозреваться в деяниях
будут обвиняться в совершении преступлений;будут подозреваться в деяниях
обвиняйся в совершении преступлений;подозревайся в деяниях
обвиняйтесь в совершении преступлений;подозревайтесь в деяниях
районный суд;районный суд
непредсказуемый;сумасбродный
непредсказуемого;сумасбродного
непредсказуемому;сумасбродному
непредсказуемым;сумасбродным
непредсказуемом;сумасбродном
непредсказуемая;сумасбродная
непредсказуемой;сумасбродной
непредсказуемую;сумасбродную
непредсказуемое;сумасбродное
непредсказуемые;сумасбродные
непредсказуемых;сумасбродных
непредсказуемыми;сумасбродными
в области;в сфере
в областях;в сферах
турбизнеса;туристического бизнеса
турбизнес;туристический бизнес
турбизнесу;туристическому бизнесу
турбизнесом;туристическим бизнесом
турбизнесе;туристическом бизнесе
обескураживающих;ошеломляющих
обескураживающий;ошеломляющий
обескураживающего;ошеломляющего
обескураживающему;ошеломляющему
обескураживающим;ошеломляющим
обескураживающем;ошеломляющем
обескураживающая;ошеломлюящая
обескураживающей;ошеломляющей
обескураживающую;ошеломляющую
обескураживающее;ошеломляющее
обескураживающие;ошеломляющие
обескураживающими;ошеломляющими
жалоб;претензий
жалоба;претензия
жалобы;претензии
жалобе;претензии
жалобой;претензией
жалобе;претензии
жалобы;претензии
жалобам;претензиям
жалобами;претензиями
жалобах;претензиях
фантастическими;необыкновенными
фантастический;необыкновенный
фантастического;необыкновенного
фантастическому;необыкновенному
фантистическим;необыкновенным
фантастическом;необыкновенном
фантастическая;необыкновенная
фантастической;необыкновенной
фантастическую;необыкновенную
фантастическое;необыкновенное
фантастические;необыкновенные
фантастических;необыкновенных
скрывается;прячется
скрываться;прячется
скрывался;прятался
скрывалась;пряталась
скрывалось;пряталось
скрывались;прятались
скрываюсь;прячусь
скрываемся;прячемся
скрываешься;прячешся
скрываетесь;таитесь
скрываются;прячутся
скрывайся;прячься
скрывайтесь;таитесь
компенсировать;возместить
компенсировал;возместил
компенсировала;возместила
компенсировало;возместило
компенсировали;возместили
компенсирую;возмещу
компенсируем;возместим
компенсируешь;возместишь
компенсируете;возместите
компенсирует;возместит
компенсируют;возместят
компенсируй;возмести
компенсируйте;возместите
расходы;затраты
расходов;затрат
расходам;затратам
расходами;затратами
расходах;затратах
на тур;на поездку
на туры;на поездки
потраченные;затраченные
потраченный;затраченный
потраченного;затраченного
потраченному;затраченному
потраченным;затраченным
потраченном;затраченном
потраченная;затраченная
потраченной;затраченной
потраченную;затраченную
потраченное;затраченное
потраченных;затраченных
потраченными;затраченными
в одной из;в какой-то из
в одном из;в каком-то из
в одних из;в каких-то из
обнаружившего;увидевшего
обнаруживший;увидевший
обнаружившему;увидевшему
обнаружившим;увидевшим
обнаружевшем;увидевшем
обнаружившая;увидевшая
обнаружившей;увидевшей
обнаружившую;увидевшую
обнаружившее;увидевшее
обнаружившие;увидевшие
обнаруживших;увидевших
обнаружившими;увидевшими
гигантское;огромное
гигантский;огромный
гигантского;огромного
гигантскому;огромному
гигантским;огромным
гигантском;огромном
гигантская;огромная
гигантской;огромной
гигантскую;огромную
гигантские;огромные
гигантских;огромных
гигантскими;огромными
вывело его из себя;растревожило его
вывести его из себя;растревожить его
вывел его из себя;растревожил его
вывела его из себя;растревожила его
вывели его из себя;растревожили его
выведу его из себя;растревожу его
выведем его из себя;растревожим его
выведешь его из себя;растревожишь его
выведете его из себя;растревожите его
выведет его из себя;растревожит его
выведут его из себя;растревожат его
выведи его из себя;растревожь его
выведите его из себя;растревожьте его
испортило;расстроило
испортить;расстроить
испортил;расстроил
испортила;расстроила
испортили;расстроили
испорчу;расстрою
испортим;расстроим
испортишь;расстроишь
испортите;расстроите
испортит;расстроит
испортят;расстроят
испорти;расстрой
испортите;расстройте
делегаты;участники
делегат;участник
делегата;участника
делегату;участнику
делегатом;участником
делегате;участнике
делегатов;участников
делегатам;участникам
делегатами;участниками
делегатах;участниках
высказали свои опасения по поводу;выразили озабоченность
высказать свои опасения по поводу;выразить озабоченность
высказал свои опасения по поводу;выразил озабоченность
высказала свои опасения по поводу;выразила озабоченность
высказало свои опасения по поводу;выразило озабоченность
выскажу свои опасения по поводу;выражу озаюоченность
выскажем свои опасения по поводу;выразим озабоченность
выскажешь свои опасения по поводу;выразишь озабоченность
выскажете свои опасения по поводу;выразите озабоченность
выскажет свои опасения по поводу;выразит озабоченность
выскажут свои опасения по поводу;выразят озабоченность
выскажи свои опасения по поводу;вырази обзабоченность
выскажите свои опасения по поводу;выразите озабоченность
по поводу;насчет
проникновения;вторжения
проникновение;вторжение
проникновению;вторжению
проникновением;вторжением
проникновении;вторжении
проникновений;вторжений
проникновениям;вторжениям
проникновениями;вторжениями
проникновениях;вторжениях
инопланетян;пришельцев
инопланетянин;пришелец
инопланетянина;пришельца
инопланетянину;пришельцу
инопланетянином;пришельцем
инопланетяне;пришельцы
инопланетянам;пришельцам
инопланетянами;пришельцами
инпланетянах;пришельцах
отеля;гостиницы
отель;гостиница
отелю;гостинице
отелем;гостиницей
отеле;гостинице
отели;гостиницы
отелях;гостиницах
отелям;гостиницам
отелями;гостиницами
собственном;личном
собственный;личный
собственного;личного
собственному;личному
собственным;личным
собственная;личная
собственной;личной
собственную;личную
собственное;личное
собственные;личные
собственных;личных
собственными;личными
проживавшая;жившая
проживавший;живший
проживавшего;жившего
проживавшему;жившему
проживавшим;жившим
проживавшем;жившем
проживавшей;жившей
проживавшую;жившую
проживавшее;жившее
проживавшие;жившие
проживавших;живших
проживавшими;жившими
прочла;прочитала
прочесть;прочитать
прочел;прочитал
прочло;прочитало
прочли;прочитали
прочту;прочитаю
прочтем;прочитаем
прочтешь;прочитаешь
прочтете;прочитаете
прочтет;прочитает
прочтут;прочитают
прочти;прочитай
прочтите;прочитайте
туристических агентств;турагентств
туристическое агентство;турагентство
туристического агентства;турагентства
туритическому агентству;турагентству
туристическим агентством;турагентством
туристическом агентстве;турагентстве
туристические агентствам;тургаентствам
туристическими агентствами;турагентствами
туристических агентствах;турагентствах
на отдых;отдыхать
за границу;в другое государство
лишь потому;из-за того
иностранцы;жители других стран
иностранец;житель другой страны
иностранца;жителя другой страны
иностранцу;жителю другой страны
иностранцем;жителем другой страны
иностранце;жителе другой страны
иностранцев;жителей других стран
иностранцам;жителям других стран
инстранцами;жителями других стран
иностранцах;жителях других стран
якобы;будто бы
разговаривать;беседовать
разговаривал;беседовал
разговаривала;беседовала
разговаривало;беседовало
разговаривали;беседовали
разговариваю;беседую
разговариваем;беседуем
разговариваешь;беседуешь
разговариваете;беседуете
разговаривает;беседует
разговаривают;беседуют
буду разговаривать;буду беседовать
будем разговаривать;будем беседовать
будешь разговаривать;будешь беседовать
будете разговаривать;будете беседовать
будет разговаривать;будет беседовать
будут разговаривать;будут беседовать
разговаривай;беседуй
разговаривайте;беседуйте
курьезов;забавных случаев
курьез;забавный случай
курьеза;забавного случая
курьезу;забавному случаю
курьезом;забавным случаем
курьезе;забавном случае
курьезы;забавные случаи
курьезам;забавным случаям
курьезами;забавными случаями
курьезах;забавных случаях
отмечено;замечено
отмечен;замечен
отмечена;замечена
отмечены;замечены
а в другом;в другом же
а в другой;в другой же
а в других;в других же
постояльцев;гостей
постоялец;гость
постояльца;гостя
постояльцу;гостю
постояльцем;гостем
постояльце;госте
постояльцы;гости
постояльцам;гостям
постояльцами;гостями
поятояльцах;гостях
декорирован;украшен
декорирована;украшена
декорировано;украшено
декорированы;украшены
привередливыми;прихотливыми
привередливый;прихотливый
привередливого;приходливого
привередливому;прихотливому
привередливым;прихотливым
привередливом;прихотливом
привередливая;прихотливая
привередливой;прихотливой
привередливую;прихотливую
привередливое;прихотливое
привередливые;прихотливые
привередливых;прихотливых
понижение;cнижение
понижения;снижения
понижению;снижению
понижением;снижением
понижении;снижении
понижений;снижений
понижениям;снижениям
понижениями;снижениями
понижениях;снижениях
по всей видимости;судя по всему
ранее;раньше
предрасположеностью;склонностью
предрасположенность;склонность
предрасположенности;склонности
предрасположенностей;склонностей
предрасположенностям;склонностям
предрасположенностями;склонностями
предрасположенностях;склонностях
сознался;признался
сознаться;признаться
созналась;призналась
созналось;призналось
сознались;признались
сознаюсь;признаюсь
сознаемся;признаемся
сознаешься;признаешь
сознаетесь;признаетесь
сознается;признается
сознаются;признаются
сознайся;признайся
сознайтесь;признайтесь
хода событий;развития ситуации
ход событий;развитие ситуации
ходу событий;развитию ситуации
ходом событий;развитием ситуации
ходе событий;развитии ситуации
нелучший;худший
нелучшего;худшего
нелучшему;худшему
нелучшим;худшим
нелучшем;худшем
нелучшая;худшая
нелучшей;худшей
нелучшую;худшую
нелучшее;худшее
нелучшие;худшие
нелучших;худших
нелучшими;худшими
в прошлом месяце;месяц назад
источал;излучал
источать;излучать
источала;излучала
источало;излучало
источали;излучали
источаю;излучаю
источаем;излучаем
источаешь;излучаешь
источаете;излучаете
источает;излучает
источают;излучают
буду источать;буду излучать
будем источать;будем излучать
будешь источать;будешь излучать
будете источать;будете излучать
будет источать;будет излучать
будут источать;будут излучать
источай;излучай
источайте;излучайте
не коснется;не затронет
не коснуться;не затронуть
не коснулся;не затронул
не коснулась;не затронула
не коснулось;не затронуло
не коснулись;не затронули
не коснусь;не затрону
не коснемся;не затронем
не коснешься;не затронешь
не коснетесь;не затронете
не коснутся;не затронут
не коснись;не затронь
не коснитесь;не затроньте
сильно;в значительной степени
за день до этого;накануне
участником которого;членом которого
участник которого;член которого
участника которого;члена которого
участнику которого;члену которого
участнике которого;члене которого
участники которого;члены которого
участников которого;членов которого
участникам которого;членам которого
участниками которого;членами которого
участниках которого;членах которого
отец;основатель
отца;основателя
отцу;основателю
отцом;основателем
отце;основателе
отцы;основатели
отцов;основателей
отцам;основателям
отцами;основателями
отцах;основателях
раззорился;обанкротился
разориться;обанкротиться
разорилась;обанкротилась
разорилось;обанкротилось
разорились;обанкротились
разорюсь;обанкрочусь
разоримся;обанкротимся
разоришься;обанкротишься
разоритесь;обанкротитесь
разорится;обанкротится
разорятся;обанкротятся
разорись;обанкроться
разоритесь;обанкротьтесь
мирового кризиса;финансового кризиса
мировой кризис;финансовый кризис
мировому кризису;финансовому кризису
мировым кризисом;финансовым кризисом
мировом кризисе;финансовом кризисе
мировые кризисы;финансовые кризисы
мировых кризисов;финансовых кризисов
мировым кризисам;финансовым кризисам
мировыми кризисами;финансовыми кризисами
мировых кризисах;финансовых кризисах
непрочные;шаткие
непрочный;шаткий
непрочного;шаткого
непросному;шаткому
непрочным;шатким
непрочном;шатком
непрочная;шаткая
непрочной;шаткой
непрочную;шаткую
непрочное;шаткое
непрочных;шатких
непрочными;шаткими
резюмирвал;констатировал
резюмировать;констатировать
резюмировала;констатировала
резюмировало;констатировало
резюмировали;констатировали
резюмирую;констатирую
резюмируем;констатируем
резюмируешь;констатируешь
резюмируете;констатируете
резюмирует;констатирует
резюмируют;констатируют
резюмируй;констатируй
резюмируйте;констатируйте
престижного;элитного
престижный;элитный
престижному;элитному
престижным;элитным
престижном;элитном
престижная;элитная
престижной;элитной
престижную;элитную
престижное;элитное
престижные;элитные
престижных;элитных
престижными;элитными
престижнейший;элитнейший
престижнейшего;элитнейшего
престижнейшему;элитнейшему
престижнейшим;элитнейшим
престижнейшем;элитнейшем
престижнейшая;элитнейшая
престижнейшей;элитнейшей
престижнейшую;элитнейшую
престижнейшее;элитнейшее
престижнейшие;элитнейшие
престижнейших;элитнейших
престижнейшими;элитнейшими
жесткой политики;агрессивной политики
жесткая политика;агрессивная политика
жесткую политику;агрессивную политику
жесткой политике;агрессивной политике
планы;намерения
план;намерение
плана;намерения
плану;намерению
планом;намерением
плане;намерении
планов;намерений
планам;намерениям
планами;намерениями
планах;намерениях
отделения;филиалы
отделение;филиал
отделения;филиала
отделению;филиалу
отделением;филиалом
отделении;филиале
отделений;филиалов
отделениям;филиалам
отделениями;филиалами
отделениях;филиалах
слывущий;считающийся
слывущего;считающегося
слывущему;считающемуся
слывущим;считающимся
слывущем;считающемся
слывущая;считающаяся
слывущей;считающейся
слывущую;считающуюся
слывущие;считающиеся
слывущих;считающихся
слывущими;считающимися
женой;супругой
жена;супруга
жены;супруги
жене;супруге
жены;супруги
женам;супругам
женами;супругами
женах;супругах
разделил;поделил
разделить;поделить
разделила;поделила
разделило;поделило
разделили;поделили
разделю;поделю
разделим;поделим
разделишь;поделишь
разделите;поделите
разделит;поделит
разделят;поделят
раздели;подели
усадьба;имение
усадьбы;имения
усадьбе;имению
усадьбой;имением
усадьбе;имении
усадеб;имений
усадьбам;имениям
усадьбами;имениями
